title
"$2,912.10"
"$3,313.30"
"$4,374.60"
"$4,995.85"
"$5,139.35"
"$3,931.20"
"$4,703.85"
"$8,188.15"
"$4,790.95"
"$8,623.70"
$780.00
"$2,950.42"
"$3,518.34"
"$3,095.86"
"$3,570.57"
"$2,699.00"
"$3,555.00"
"$3,925.00"
"$5,960.00"
"$3,850.00"
"$4,805.00"
"$6,040.00"
"$3,199.00"
"$5,585.00"
"$6,045.00"
"$6,480.00"
"$4,315.00"
"$1,221.00"
"$6,376.26"
"$6,724.14"
"$7,273.17"
"$4,113.06"
"$3,550.00"
"$4,870.00"
"$2,329.65"
"$2,847.35"
"$5,255.00"
"$4,760.00"
"$5,555.00"
"$2,855.00"
$684.00
"$3,031.00"
"$3,194.00"
"$4,618.00"
"$6,230.00"
"$3,353.32"
"$2,403.58"
$367.85
"$4,415.00"
$385.60
"$1,249.63"
"$1,388.46"
"$1,570.73"
"$6,847.67"
"$7,178.35"
$242.25
"$7,801.17"
"$4,289.97"
$884.12
"$2,022.15"
"$2,992.80"
$903.60
$946.65
"$4,948.85"
"$6,011.95"
"$6,732.32"
"$4,722.22"
"$2,622.75"
"$2,695.81"
$903.24
"$5,585.00"
$8.95
$14.60
$9.50
$3.80
$8.75
$18.65
$8.00
$23.80
$6.25
$9.05
$11.30
$12.80
$7.80
$12.70
$3.10
$5.45
$6.40
$15.65
$12.10
$16.75
$16.35
$12.10
"$4,628.36"
$23.10
